科目,出題回,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解,解説
解剖学,26,脳神経と機能の組み合わせで正しいのはどれか。 ,動眼神経――――角膜の痛覚 ,下顎神経――――舌の痛覚 ,顔面神経――――顔面の触覚 ,舌咽神経――――舌の運動,2,
解剖学,26,眼球について正しいのはどれか。 ,瞳孔括約筋の収縮で散瞳する。 ,毛様体小体は硝子体に付着する。 ,杆体細胞は黄斑に集中する。 ,眼房水は水晶体を栄養する。,4,
解剖学,27,血液中の白血球で最も数が多いのはどれか。,好中球,好酸球,リンパ球,単　球,1,
解剖学,27,後頭蓋窩にあるのはどれか。,下垂体窩,棘　孔,斜　台,正円孔,3,
解剖学,27,顔面神経が支配する筋はどれか。,顎舌骨筋,胸骨舌骨筋,茎突舌骨筋,甲状舌骨筋,3,
解剖学,27,咀嚼筋について正しいのはどれか。,咬筋の起始は蝶形骨である。,側頭筋の停止は下顎骨筋突起である。,外側翼突筋は上顎神経に支配される。,内側翼突筋は下顎骨を前方に移動させる。,2,
解剖学,27,肺静脈について正しいのはどれか。,弁がある。,右肺門では 2 本みられる。,組織学的には弾性血管に分類される。,左心房に流入する前にすべてが合流する。,2,
解剖学,27,鼻腔について正しいのはどれか。,キーゼルバッハ部位は上鼻道にある。,嗅上皮は中鼻道にある。,鼻涙管は下鼻道に開口する。,鼻粘膜は重層扁平上皮からなる。,3,
解剖学,27,食道について正しいのはどれか。,第3頸椎の高さで始まる。,気管分岐部の高さで狭窄している。,気管の前を通る。,成人では長さ約 15 cm である。,2,
解剖学,27,肝臓について正しいのはどれか。,実質はグリソン鞘により肝小葉に分けられる。,肝鎌状間膜は方形葉と尾状葉の間にある。,右葉よりも左葉の方が大きい。,肝静脈は肝門を通る。,1,
解剖学,27,男性生殖器について正しいのはどれか。,セルトリ細胞は男性ホルモンを分泌する。,射精管は陰茎を貫いている。,精子は精囊に蓄えられる。,精巣上体は陰囊内にある。,4,
解剖学,27,脊髄神経とその数の組合せで正しいのはどれか。,頸神経 ――― 7対,胸神経 ――― 11 対,腰神経 ――― 5対,仙骨神経 ――― 6対,3,
解剖学,27,皮膚について正しいのはどれか。,表皮は多列円柱上皮でできている。,真皮は中胚葉に由来する。,毛幹は皮膚内部に埋まっている。,エクリン汗腺は足底にはない。,2,
解剖学,28,発生について正しいのはどれか。,精子と卵子は膣内で受精する。,着床は桑実胚の段階で起こる。,真皮は中胚葉から分化する。,胎盤では母体と胎児の血液が混ざり合う。,3,
解剖学,28,椎骨で黄色靭帯が付着するのはどれか。,椎　体,椎　弓,横突起,棘突起,2,
解剖学,28,背部の筋で正しいのはどれか。,菱形筋は肩甲骨を上内方に引く。,板状筋は脊柱起立筋の一つである。,後頭下筋群は大後頭神経に支配される。,横突棘筋で長さが最も短いのは多裂筋である。,1,
解剖学,28,内腸骨動脈の枝はどれか。,上直腸動脈,上殿動脈,内側大腿回旋動脈,卵巣動脈,2,
解剖学,28,胎児循環で酸素を最も多く含む血液が流れているのはどれか。,臍静脈,下大静脈,上行大動脈,臍動脈,1,
解剖学,28,舌の分界溝前に一列に並ぶのはどれか。,糸状乳頭,茸状乳頭,有郭乳頭,葉状乳頭,3,
解剖学,28,精巣で男性ホルモンを分泌するのはどれか。,精粗細胞,精母細胞,セルトリ細胞,ライディッヒ細胞(間細胞),4,
解剖学,28,下垂体について正しいのはどれか。,前葉の働きは視床下部の支配を受ける。,後葉は乳腺刺激ホルモンを分泌する。,神経性下垂体では下垂体門脈系が形成される。,腺性下垂体は胎生期に神経管から独立してできる。,1,
解剖学,28,成人の脊髄円錐の高さはどれか。,第11胸椎,第2腰椎,第4腰椎,仙　骨,2,
解剖学,28,脛骨神経について正しいのはどれか。,腰神経叢の枝である。,梨状筋上孔を通る。,大腿二頭筋短頭を支配する。,膝窩中央を通る。,4,
解剖学,28,内耳の前庭でみられるのはどれか。,ラセン器,蝸牛管,平衡斑,膨大部稜,3,
解剖学,29,上肢の骨格について正しいのはどれか。,肩甲骨上角は外側縁と上縁の間にある。,上腕骨小頭は上腕骨滑車の外側にある。,尺骨頭は尺骨の近位にある。,舟状骨は手根骨の遠位列にある。,2,
解剖学,29,大腿の筋で大腿神経に支配されるのはどれか。,大腿二頭筋,薄　筋,半腱様筋,縫工筋,4,
解剖学,29,頭頸部の筋について正しいのはどれか。,上眼瞼挙筋は顔面神経支配である。,外側翼突筋は下顎骨を挙上する。,前斜角筋は第2肋骨に停止する。,胸鎖乳突筋は大鎖骨上窩の前縁を形成する。,4,
解剖学,29,心臓について正しいのはどれか。,大動脈口は肺動脈口の前方にある。,後室間枝は左冠状動脈の枝である。,腱索は半月弁に付着する。,洞房結節は右心房壁にある。,4,
解剖学,29,肺門を通るのはどれか。,横隔神経,気　管,気管支動脈,胸　管,3,
解剖学,29,小腸について正しいのはどれか。,上皮は内胚葉から分化する。,半月ヒダがある。,十二指腸空腸曲は腰椎の右にある。,回腸には腸間膜がない。,1,
解剖学,29,腎臓について正しいのはどれか。,腎小体は髄質に散在する。,腎柱の先端を腎乳頭という。,集合管はネフロンを構成する。,足細胞は糸球体表面を取り囲んでいる。,4,
解剖学,29,脳の部位と存在するものとの組合せで正しいのはどれか。,大脳頭頂葉　----　運動野,間　脳　------　被　蓋,中　脳　------　内側膝状体,小　脳　------　虫　部,4,
解剖学,29,脳神経で瞳孔を縮小させるのはどれか。,視神経,動眼神経,滑車神経,外転神経,2,
解剖学,30,頸椎について正しいのはどれか。,横突孔がある。,後湾している。,第6頸椎は隆椎である。,軸椎は後頭骨との関節面をもつ。,1,
解剖学,30,横隔膜について正しいのはどれか。,呼気筋である。,頸神経に支配される。,起始部は腱中心である。,迷走神経は大動脈孔を通る。,2,
解剖学,30,上肢の筋と作用の組合せで正しいのはどれか。,大円筋　------　肩関節の外転,長掌筋　------　橈骨手根関節の伸展,浅指屈筋　-----　遠位指節間関節の屈曲,腕橈骨筋　-----　肘関節の屈曲,4,
解剖学,30,外頸動脈の枝はどれか。,眼動脈,椎骨動脈,顎動脈,下甲状腺動脈,3,
解剖学,30,静脈について正しいのはどれか。,奇静脈は腕頭動脈に注ぐ。,大伏在静脈は大腿静脈に注ぐ。,尺側皮静脈は鎖骨胸筋三角を通る。,肝静脈は肝門を通る。,2,
解剖学,30,食道について正しいのはどれか。,横隔を通る。,第3頸椎の高さで始まる。,食道下部の筋層は横紋筋である。,粘膜上皮は多列線毛上皮からなる。,1,
解剖学,30,膵臓について正しいのはどれか。,膵頭部は脾臓に接する。,腹膜で全体が覆われている。,膵管は十二指腸に開口する。,ランゲルハンス島は膵頭部に多い。,3,
解剖学,30,痛覚の伝導路に含まれるのはどれか。,下　丘,胸髄核,後索核,脊髄後角,4,
解剖学,30,皮膚について正しいのはどれか。,毛幹の下端を毛球という。,乳腺は皮膚腺の一種である。,表皮は多列円柱上皮である。,メラノサイトは真皮にある。,2,
解剖学,31,細胞分裂時に消失するのはどれか。,核　膜,染色体,中心体,ミトコンドリア,1,
解剖学,31,胸郭について正しいのはどれか。,胸骨角は第2肋骨と連結する。,頚切痕は胸骨体の上縁である。,仮肋は肋骨弓の構成に関与しない。,上大静脈は胸郭上口を通る。,1,
